Symbol
GLRA4
NMB
CALCA
QRFPR
CALCB
GAL
ADCYAP1
SSTR3
CARTPT
NXPH3
UCN
CPE
NTSR2
GPR19
CRHR1
PCSK1N
TAC1
GPR83
SCG5
OPRK1
GPR149
PENK
