Symbol
MPZ
CLDN19
L1CAM
CADM3
SDC3
CADM3
SDC3
CDH4
NRXN2
CNTN1
LRRC4B
NLGN3
CNTN2
MAG
CLDN11
ICOSLG
CNTNAP1
NRCAM
LRRC4C
CNTNAP2
