Symbol
TRPV1
TRPV2
TRPV3
TRPV4
TRPV5
TRPV6
TRPM1
TRPM3
TRPM6
TRPM7
TRPM5
TRPM4
TRPM2
TRPM8
PKD1
PKD2
PKD2L1
PKD2L2
PKD2L2-DT
MCOLN1
MCOLN2
MCOLN3
TRPA1
TRPC2
TRPC1
TRPC3
TRPC7
TRPC6
TRPC4
TRPC5
