Symbol
SCN1A
SCN2A
SCN3A
SCN4A
SCN5A
SCN8A
SCN9A
SCN10A
SCN11A








































































































