Symbol
SSTR3
O3FAR1
OR7E14P
GPR61
P2RY12
OR7A5
BDKRB1
GPR173
GABBR1
ADRA2C
GPR12
CCKBR
CRHR1
HTR5A
CHRM1
HRH3
NTSR2
GPR158
GPR37L1
GPR85
GPR19
GRM4
GPR83
GABBR2
ADORA1
OR2L13
GRM7
CHRM4
HTR1D
GPR149
OPRK1
FZD2
DARC
LPAR3
OR51E2
QRFPR
CCKAR
MRGPRE
MRGPRX4
MRGPRX1
HRH1
OR7E101P
GCGR
F2RL2
MRGPRD
BDKRB2
