Symbol
CHRNA3
KCNJ12
SCN4B
KCNT1
HCN1
KCNC4
KCNK9
KCNH5
KCNS1
KCNG4
KCNK12
ASIC3
PANX2
KCNG2
GABRB3
ANO3
CHRNB2
ASIC1
KCNG1
GABRA2
GJD2
KCNQ3
TRPC3
KCNA6
KCNB2
KCNV1
KCNA1
GABRAG3
KCNK4
KCNa2
SCN3B
SCN1A
KCNJ4
GABRA5
KCNF1
CACNA1A
GRIA2
KCNJ9
KCNJ10
HCN2
GRIN1
GRIK5
GABRG2
KCNC1
CACNA1B
KCNQ2
KCNN1
SCN2A
KCNC2
ANO4
GRIK1
GABRA3
KCNH8
KCNMB4
NALCN
TRPM3
KCNK10
GJC2
GLRA4
GJC3
SCN19A
TRPV1
P2RX3
SCN10A
CHRNB3
CHRNA6
CHRNA9
KCNK18
SCN11A
KCNG3
HTR3A
GRIK3
CHRNA7
KCNH6
SCNN1G
SCN7A
KCNB1
KCNJ3
KCNK1
KCNS3
KCNT2
KCNQ5
KCNA4
KCND3
KCNA3
KCNN2
KCNMA1
PIEZO2
SCN5A
SCN9A
RYR2
CHRNA3
GJC1
TRPM8
TRPA1
TRPC1
GABRB1
GABRA1
GABRG3
GRIA3
GRIK2
GRIA4
GRIA1
AQP1
P2RX6
P2RX5
CACNA1E
CACNA1C
CLCN6
KRIK1
GLRB
HTR3B
TPCN1
